Date,Open,High,Low,Close,Volume
03/11/2022,"25.67","25.73","23.17","23.17","8,822,152"
03/10/2022,"25.98","26.01","24.56","25.14","5,581,868"
03/09/2022,"26.75","27.22","25.88","26.30","5,598,388"
03/08/2022,"25.26","27.25","24.27","25.75","8,536,116"
03/07/2022,"28.75","28.75","24.03","24.84","12,591,460"
03/04/2022,"29.50","30.13","27.65","27.92","5,920,052"
03/03/2022,"30.74","30.94","29.31","29.60","4,382,408"
03/02/2022,"29.88","30.67","29.09","30.49","5,242,600"
03/01/2022,"30.55","31.47","29.59","29.76","4,384,084"
02/28/2022,"30.25","31.57","29.22","30.84","6,457,988"
02/25/2022,"30.89","31.24","29.12","29.65","6,841,020"
02/24/2022,"26.38","31.43","26.03","31.15","9,024,848"
02/23/2022,"30.31","30.84","28.57","28.72","5,393,008"
02/22/2022,"29.55","30.83","28.55","29.52","6,156,452"
02/18/2022,"31.05","31.41","29.53","30.38","6,214,156"
02/17/2022,"31.69","32.71","30.56","30.85","6,256,416"
02/16/2022,"31.11","33.21","30.98","32.08","8,007,724"
02/15/2022,"30.24","31.81","29.82","31.54","7,920,356"
02/14/2022,"30.73","31.38","29.04","29.27","9,102,704"
02/11/2022,"30.62","32.47","30.19","31.06","11,299,108"
02/10/2022,"29.49","32.95","29.00","30.62","14,826,148"
02/09/2022,"28.52","31.18","28.25","31.07","15,467,580"
02/08/2022,"25.44","29.42","25.14","28.90","19,839,624"
02/07/2022,"25.75","26.35","24.69","25.59","7,037,440"
02/04/2022,"24.75","26.00","23.77","25.59","7,627,164"
02/03/2022,"25.38","26.74","24.43","24.81","10,710,076"
02/02/2022,"27.59","27.96","24.52","25.01","13,116,540"
02/01/2022,"28.25","29.16","27.07","28.15","13,847,508"
01/31/2022,"24.47","27.45","24.47","27.23","13,997,092"
01/28/2022,"23.85","24.50","21.90","24.48","16,430,268"
01/27/2022,"26.04","26.75","23.22","23.38","14,679,824"
01/26/2022,"25.28","29.75","25.08","25.82","33,330,160"
01/25/2022,"24.23","26.24","23.75","24.95","14,297,020"
01/24/2022,"24.76","25.72","21.57","25.04","25,070,996"
01/21/2022,"25.25","27.55","23.18","26.59","22,120,044"
01/20/2022,"26.98","28.80","25.40","25.67","11,680,296"
01/19/2022,"27.50","28.26","26.10","26.64","9,614,316"
01/18/2022,"28.28","28.44","26.10","27.23","15,037,612"
01/14/2022,"30.04","30.58","28.01","29.16","15,401,912"
01/13/2022,"32.13","32.63","30.42","30.62","8,901,080"
01/12/2022,"32.50","32.83","31.61","32.02","6,298,036"
01/11/2022,"32.53","34.20","31.85","32.58","10,332,220"
01/10/2022,"33.75","33.92","30.00","32.79","22,047,924"
01/07/2022,"39.94","40.08","33.13","35.16","48,549,240"
01/06/2022,"33.21","34.43","30.29","32.76","24,205,920"
01/05/2022,"37.10","37.21","32.29","32.34","13,585,600"
01/04/2022,"38.04","38.25","35.76","37.23","7,339,576"
01/03/2022,"37.31","39.85","37.30","38.21","5,668,004"
12/31/2021,"38.41","39.18","37.03","37.10","5,575,856"
